230_110_kV_PowerLine	Puducherry 230 and 110 kV Power Line
Anganwadi_Balawadi_Centres	Puducherry Anganwadi Balawadi Centres
Banks	Puducherry Bank
Bus_Stations	Puducherry Bus Station Locations
Corals	Unique Mesophotic Corals
Cremation_Ground	Puducherry Cremation Ground
Dams	Puducherry Check Dam Locations
Divisional_Fire_Office	Puducherry Divisional Fire Office
Grave	Puducherry Grave
GraveYard_Boundary	Puducherry Grave Yard Boundary
Industry	Puducherry Industry
Major_Hazardous_Industry	Puducherry Major Hazardous Industry
Major_Landmarks	Puducherry Major Landmarks
Major_Road_Network	Puducherry Major Road Network
Open_Drain	Puducherry Open Drain
OverHead_Tanks	Puducherry Over Head Tank Location
Park_Area	Puducherry Park Area
Playground_Area	Puducherry Playground Area
Police_Stations	Puducherry Police Stations
Power_Mainline	Power Mainline
Puducherry_Aqueduct_Locations	Puducherry Aqueduct Locations
Puducherry_Ashram	Puducherry Ashram
Pump_House_Area	Puducherry Pump House Area
Rail_Bridge	Puducherry Rail Bridge
Rail_Broadgauge	Puducherry Rail Broadgauge
Rail_Culvert	Puducherry Rail Culvert
Railway_Station	Puducherry Railway Station
Religious_Place	Puducherry Religious Place
Road_Bridges	Puducherry Road Bridges
Road_Network	Puducherry Road Network
Stadium_Locations	Puducherry Stadium Locations
Substation_Locations	Puducherry Substation Locations
Traffic_Signal_Locations	Puducherry Traffic Signal Locations
Veterinary_Hospitals	Puducherry Veterinary Hospitals
